,date,name,region_id,value
128,2020-04-16,one_day,ca-montreal,9
129,2020-04-16,one_day,ca-toronto,14
130,2020-04-16,one_day,ca-vancouver,15
131,2020-04-16,one_day,de-berlin,13
132,2020-04-16,one_day,de-hamburg,15
133,2020-04-16,one_day,de-rhineruhr,17
134,2020-04-16,one_day,dk-copenhagen,11
135,2020-04-16,one_day,es-barcelona,3
136,2020-04-16,one_day,es-madrid,4
137,2020-04-16,one_day,fr-lyon,4
138,2020-04-16,one_day,fr-paris,5
139,2020-04-16,one_day,hk-hongkong,42
140,2020-04-16,one_day,it-milan,3
141,2020-04-16,one_day,it-rome,5
142,2020-04-16,one_day,jp-tokyo,5
143,2020-04-16,one_day,kr-seoul,40
144,2020-04-16,one_day,mc-monaco,5
145,2020-04-16,one_day,mx-df,12
146,2020-04-16,one_day,nl-randstad,5
147,2020-04-16,one_day,pt-lisbon,9
148,2020-04-16,one_day,ru-moscow,11
149,2020-04-16,one_day,ru-stpetersburg,28
150,2020-04-16,one_day,se-stockholm,28
151,2020-04-16,one_day,sg-singapore,12
152,2020-04-16,one_day,tr-istanbul,8
153,2020-04-16,one_day,uk-birmingham,13
154,2020-04-16,one_day,uk-london,8
155,2020-04-16,one_day,uk-manchester,8
156,2020-04-16,one_day,us-boston,4
157,2020-04-16,one_day,us-chicago,5
158,2020-04-16,one_day,us-dc,4
159,2020-04-16,one_day,us-la,7
160,2020-04-16,one_day,us-nyc,6
161,2020-04-16,one_day,us-philadelphia,11
162,2020-04-16,one_day,us-seattle,6
163,2020-04-16,one_day,us-sf,4
164,2020-04-15,one_day,at-vienna,8
165,2020-04-15,one_day,au-melbourne,14
166,2020-04-15,one_day,au-sydney,14
167,2020-04-15,one_day,be-brussels,7
168,2020-04-15,one_day,br-saopaulo,11
169,2020-04-15,one_day,ca-montreal,10
170,2020-04-15,one_day,ca-toronto,14
171,2020-04-15,one_day,ca-vancouver,14
172,2020-04-15,one_day,de-berlin,13
173,2020-04-15,one_day,de-hamburg,15
174,2020-04-15,one_day,de-rhineruhr,17
175,2020-04-15,one_day,dk-copenhagen,13
176,2020-04-15,one_day,es-barcelona,4
177,2020-04-15,one_day,es-madrid,4
